entry_id,title,year,venue,authors,tracks,priority,source_role,verification_contract,supervision_granularity,training_use,construction_layer,domains,tags,one_line_summary,one_line_summary_zh,primary_link,code,data,huggingface,project
pi-squared-reasoning-data-2026,$π^2$: Structure-Originated Reasoning Data Improves Long-Context Reasoning Ability of Large Language Models,2026,arXiv preprint; under review (2026),Quyet V. Do; Thinh Pham; Nguyen Nguyen; Sha Li; Pratibha Zunjare; Tu Vu,instruction_demonstration_rationale_data,可读,construction_recipe; data_release; benchmark,mixed,answer_level; step_level,sft; distillation; evaluation,prompt_sourcing; trace_writing; reward_verifier_layer,long-context-reasoning,long-context-data; dual-execution-verification; reasoning-traces,π2 turns Wikipedia tables into long-context QA with SQL/Python-agreed answers and back-translated reasoning traces for data-efficient SFT.,π2 将 Wikipedia 表格转成由 SQL 与 Python 双路径确认答案的长上下文问答，再反向生成推理轨迹用于高效 SFT。,https://arxiv.org/abs/2604.05114,https://github.com/vtpss/pi-squared,https://drive.google.com/drive/folders/1ISRgLijDFvwFpHzV4tmHix6MIwIGG2gd?usp=sharing,,
humanitys-last-exam-2025,A benchmark of expert-level academic questions to assess AI capabilities,2026,"Nature 649, 1139-1146 (2026) / arXiv:2501.14249",Center for AI Safety; Scale AI; HLE Contributors Consortium,benchmarks_evaluation_surfaces,必读,benchmark; audit_failure,mixed,answer_level,evaluation; audit,reward_verifier_layer; release_audit,frontier-academic-reasoning; multimodal; science; mathematics; humanities; contamination-audit,benchmark; expert-written; frontier-evaluation; multimodal; contamination-audit,Humanity's Last Exam releases an expert-written frontier academic benchmark with closed-ended multimodal and text questions graded by reference answers.,Humanity's Last Exam 汇集全球专家编写的闭合式学术难题，用多选/短答参考答案评测 frontier model 的知识与推理边界。,https://arxiv.org/abs/2501.14249,https://github.com/centerforaisafety/hle,https://huggingface.co/datasets/cais/hle,,https://lastexam.ai/
process-reward-models-survey-2026,"A Comprehensive Survey of Process Reward Models: Data Generation, Model Construction, and Usage",2026,ACL 2026 (Long Papers),Congmin Zheng; Jiachen Zhu; Zhuoying Ou; Yuxiang Chen; Kangning Zhang; Rong Shan; Zeyu Zheng; Mengyue Yang; Jianghao Lin; Yong Yu; Weinan Zhang,foundations_and_primers,必读,survey_background,unknown,step_level; process_reward; trajectory_value,process_supervision; reward_modeling; rlvr; test_time_compute,trace_writing; reward_verifier_layer; optimizer_scaffold,process-supervision; reward-modeling; reasoning-data; test-time-scaling,foundations-and-primers; process-reward-models; process-supervision; reasoning-traces; acl-2026,A 2026 ACL survey that traces process reward models from labeled reasoning data through construction to search and reinforcement-learning use.,贯通过程数据生成、过程奖励模型构建与使用的 2026 年 ACL 综述。,https://aclanthology.org/2026.acl-long.163/,https://github.com/despzcm/Survey-of-Process-Reward-Model,,,
contaminated-reasoning-geometry-2026,A Narrowing Geometry in Contaminated Reasoning,2026,ICML 2026,Jiakuan Xie; Pengfei Cao; Kang Liu; Jun Zhao,audit_failure_contamination_verifier_attacks,必读,audit_failure,mixed,trajectory_value,evaluation; audit,release_audit,reasoning; evaluation; alignment,track13; audit; round3,A mechanistic account links contaminated reasoning to geometric narrowing and tests an intervention that restores base-model consistency.,从内部几何收缩解释污染推理，并用干预部分恢复与基础模型的一致性。,https://openreview.net/forum?id=jXhXr53hdG,https://github.com/jiakuan929/ContamReasoning,,,
post-training-reasoning-data-primer-2026,A Primer in Post-Training Reasoning Data: What We Know About How It Works,2026,arXiv preprint,Yaoming Li; Guangxiang Zhao; Qilong Shi; Lin Sun; Xiangzheng Zhang; Tong Yang,foundations_and_primers,可读,survey_background,mixed,unknown,evaluation; audit,prompt_sourcing; trace_writing; release_audit,post-training-reasoning-data,arxiv-2606.02113; foundations_and_primers; post-training-data-primer,"This primer organizes more than 150 studies into a practical map of reasoning-data objects, utility signals, construction choices, and scaling limits.",这篇 primer 把 150 多项研究整理为推理数据对象、效用信号、构造选择和规模边界的实用地图。,https://arxiv.org/abs/2606.02113,,,,https://github.com/RenBing-Sumeru/Awesome-LLM-Reasoning-Data
inductive-reasoning-survey-2026,A Survey of Inductive Reasoning for Large Language Models,2026,ACL 2026 (Long Papers),Kedi Chen; Dezhao Ruan; Yuhao Dan; Yaoting Wang; Siyu Yan; Xuecheng Wu; Yinqi Zhang; Qin Chen; Jie Zhou; Liang He; Biqing Qi; Linyang Li; Qipeng Guo; Xiaoming Shi; Wei Zhang,foundations_and_primers,可读,survey_background,unknown,unknown,evaluation; test_time_compute,trace_writing; optimizer_scaffold,inductive-reasoning; reasoning-data; test-time-scaling; benchmarks,foundations-and-primers; inductive-reasoning; acl-2026; survey,"An ACL 2026 survey that organizes inductive reasoning methods by post-training, exploration, data augmentation, and evaluation.",系统梳理大语言模型归纳推理的训练、探索、数据增强与评测方法。,https://aclanthology.org/2026.acl-long.1447/,,,,
reasoning-intensive-retrieval-survey-2026,A Survey of Reasoning-Intensive Retrieval: Progress and Challenges,2026,ACL 2026,Yiyang Wei; Tingyu Song; Siyue Zhang; Yilun Zhao,foundations_and_primers,可读,survey_background,programmatic,unknown,evaluation; test_time_compute,reward_verifier_layer; trace_writing,retrieval; reasoning; evaluation,foundations-and-primers; retrieval; reasoning; acl-2026; survey,"An ACL 2026 survey of retrieval tasks where finding evidence depends on an inferential connection, not only semantic similarity.",梳理需要依靠隐含推断关系而非仅靠语义相似度的检索任务、基准与方法。,https://aclanthology.org/2026.acl-long.1949/,,,,
abc-bench-agentic-backend-coding-2026,ABC-Bench: Benchmarking Agentic Backend Coding in Real-World Development,2026,Findings of ACL 2026,Jie Yang; Honglin Guo; Li Ji; Jiazheng Zhou; Rui Zheng; Zhikai Lei; Shuo Zhang; Zhiheng Xi; Shichun Liu; Yuxin Wang; Bo Wang; Yining Zheng; Tao Gui; Xipeng Qiu,programmatically_verifiable_outcome_data,必读,data_release; benchmark,programmatic,answer_level; full_episode,evaluation; sft; rlvr,prompt_sourcing; reward_verifier_layer; release_audit,software-engineering; backend-development; agent-evaluation,programmatic-verification; benchmark; 2026,ABC-Bench evaluates agents on 224 containerized backend-development tasks whose deployed services must pass end-to-end HTTP API tests.,ABC-Bench 将 224 个后端开发任务放入容器化服务环境，以部署后的真实 HTTP API 测试验证智能体的端到端实现。,https://aclanthology.org/2026.findings-acl.1142/,https://github.com/OpenMOSS/ABC-Bench,https://huggingface.co/datasets/OpenMOSS-Team/ABC-Bench,,
active-dpo-preference-selection-2026,ActiveDPO: Active Direct Preference Optimization for Sample-Efficient Alignment,2026,ICLR 2026,Xiaoqiang Lin; Arun Verma; Zhongxiang Dai; Daniela Rus; See-Kiong Ng; Bryan Kian Hsiang Low,training_usage_optimization_objectives,必读,construction_recipe; scaling_study,judgment_required,pairwise_preference,preference_learning,optimizer_scaffold,alignment; summarization; question-answering,active-learning; direct-preference-optimization; preference-data-selection; gradient-uncertainty,"ActiveDPO uses the target policy's projected implicit-reward gradients to actively acquire diverse, high-uncertainty preference pairs for iterative DPO.",ActiveDPO 利用目标策略投影后的隐式奖励梯度，主动获取多样且高不确定性的偏好对，再进行迭代式 DPO 训练。,https://openreview.net/forum?id=RD4XgyVyGh,,,,
adaptive-generate-rank-verify-2026,Adaptive Generate-Rank-Verify: Inference-Time Search with Costly Verification,2026,arXiv preprint,Shaddin Dughmi; Mahdi Haghifam; Yusuf Hakan Kalayci,scaling_rlvr_test_time_compute,必读,scaling_study,programmatic,answer_level; full_episode,test_time_compute; evaluation,optimizer_scaffold; scaling_report,mathematical-reasoning; code-generation,test-time-compute; verification; adaptive-search; reward-ranking; theory,"ADAP adaptively grows a candidate pool and verifies its top-ranked members, with a constant-factor cost guarantee under a monotone score-success assumption.",ADAP 根据廉价排序分数逐步扩大候选池，并只为高分候选支付昂贵验证成本，在单调假设下接近最优开销。,https://arxiv.org/abs/2605.17609,,,,
